Created as New Dataset;
cm-1;%T
4000,00;83,55
3998,00;83,55
3996,00;83,55
3994,00;83,55
3992,00;83,54
3990,00;83,54
3988,00;83,54
3986,00;83,54
3984,00;83,53
3982,00;83,53
3980,00;83,53
3978,00;83,53
3976,00;83,52
3974,00;83,52
3972,00;83,51
3970,00;83,51
3968,00;83,50
3966,00;83,50
3964,00;83,49
3962,00;83,48
3960,00;83,48
3958,00;83,47
3956,00;83,46
3954,00;83,46
3952,00;83,45
3950,00;83,44
3948,00;83,44
3946,00;83,43
3944,00;83,42
3942,00;83,42
3940,00;83,41
3938,00;83,41
3936,00;83,40
3934,00;83,40
3932,00;83,40
3930,00;83,40
3928,00;83,39
3926,00;83,39
3924,00;83,39
3922,00;83,39
3920,00;83,39
3918,00;83,38
3916,00;83,38
3914,00;83,37
3912,00;83,37
3910,00;83,36
3908,00;83,36
3906,00;83,35
3904,00;83,34
3902,00;83,33
3900,00;83,32
3898,00;83,31
3896,00;83,30
3894,00;83,30
3892,00;83,30
3890,00;83,29
3888,00;83,28
3886,00;83,26
3884,00;83,25
3882,00;83,25
3880,00;83,26
3878,00;83,27
3876,00;83,28
3874,00;83,27
3872,00;83,24
3870,00;83,20
3868,00;83,17
3866,00;83,18
3864,00;83,22
3862,00;83,32
3860,00;83,44
3858,00;83,55
3856,00;83,63
3854,00;83,65
3852,00;83,62
3850,00;83,55
3848,00;83,47
3846,00;83,39
3844,00;83,33
3842,00;83,30
3840,00;83,27
3838,00;83,23
3836,00;83,19
3834,00;83,15
3832,00;83,10
3830,00;83,07
3828,00;83,04
3826,00;83,03
3824,00;83,02
3822,00;83,02
3820,00;83,01
3818,00;83,00
3816,00;83,00
3814,00;82,99
3812,00;82,99
3810,00;82,99
3808,00;82,99
3806,00;82,99
3804,00;83,00
3802,00;83,00
3800,00;83,00
3798,00;83,00
3796,00;83,01
3794,00;83,01
3792,00;83,02
3790,00;83,03
3788,00;83,05
3786,00;83,07
3784,00;83,09
3782,00;83,11
3780,00;83,14
3778,00;83,17
3776,00;83,20
3774,00;83,23
3772,00;83,26
3770,00;83,29
3768,00;83,31
3766,00;83,33
3764,00;83,35
3762,00;83,36
3760,00;83,38
3758,00;83,39
3756,00;83,40
3754,00;83,41
3752,00;83,43
3750,00;83,44
3748,00;83,46
3746,00;83,48
3744,00;83,51
3742,00;83,53
3740,00;83,56
3738,00;83,58
3736,00;83,60
3734,00;83,61
3732,00;83,61
3730,00;83,61
3728,00;83,60
3726,00;83,59
3724,00;83,57
3722,00;83,56
3720,00;83,55
3718,00;83,55
3716,00;83,55
3714,00;83,55
3712,00;83,56
3710,00;83,56
3708,00;83,57
3706,00;83,56
3704,00;83,55
3702,00;83,54
3700,00;83,52
3698,00;83,50
3696,00;83,47
3694,00;83,44
3692,00;83,41
3690,00;83,37
3688,00;83,35
3686,00;83,32
3684,00;83,30
3682,00;83,28
3680,00;83,26
3678,00;83,25
3676,00;83,24
3674,00;83,22
3672,00;83,21
3670,00;83,19
3668,00;83,16
3666,00;83,13
3664,00;83,10
3662,00;83,07
3660,00;83,04
3658,00;83,00
3656,00;82,98
3654,00;82,95
3652,00;82,94
3650,00;82,92
3648,00;82,91
3646,00;82,91
3644,00;82,90
3642,00;82,89
3640,00;82,89
3638,00;82,88
3636,00;82,88
3634,00;82,87
3632,00;82,87
3630,00;82,86
3628,00;82,86
3626,00;82,86
3624,00;82,86
3622,00;82,86
3620,00;82,87
3618,00;82,89
3616,00;82,91
3614,00;82,94
3612,00;82,97
3610,00;83,01
3608,00;83,04
3606,00;83,07
3604,00;83,10
3602,00;83,13
3600,00;83,16
3598,00;83,18
3596,00;83,20
3594,00;83,22
3592,00;83,24
3590,00;83,26
3588,00;83,27
3586,00;83,29
3584,00;83,31
3582,00;83,33
3580,00;83,36
3578,00;83,38
3576,00;83,41
3574,00;83,44
3572,00;83,46
3570,00;83,49
3568,00;83,51
3566,00;83,53
3564,00;83,55
3562,00;83,56
3560,00;83,57
3558,00;83,58
3556,00;83,59
3554,00;83,59
3552,00;83,59
3550,00;83,59
3548,00;83,58
3546,00;83,57
3544,00;83,55
3542,00;83,53
3540,00;83,51
3538,00;83,49
3536,00;83,48
3534,00;83,46
3532,00;83,45
3530,00;83,43
3528,00;83,42
3526,00;83,41
3524,00;83,41
3522,00;83,40
3520,00;83,40
3518,00;83,39
3516,00;83,39
3514,00;83,38
3512,00;83,38
3510,00;83,37
3508,00;83,37
3506,00;83,36
3504,00;83,35
3502,00;83,35
3500,00;83,34
3498,00;83,34
3496,00;83,33
3494,00;83,33
3492,00;83,33
3490,00;83,33
3488,00;83,33
3486,00;83,33
3484,00;83,33
3482,00;83,32
3480,00;83,32
3478,00;83,32
3476,00;83,32
3474,00;83,32
3472,00;83,32
3470,00;83,32
3468,00;83,32
3466,00;83,31
3464,00;83,31
3462,00;83,31
3460,00;83,30
3458,00;83,30
3456,00;83,29
3454,00;83,28
3452,00;83,27
3450,00;83,26
3448,00;83,25
3446,00;83,24
3444,00;83,23
3442,00;83,21
3440,00;83,20
3438,00;83,18
3436,00;83,16
3434,00;83,14
3432,00;83,13
3430,00;83,11
3428,00;83,09
3426,00;83,07
3424,00;83,05
3422,00;83,03
3420,00;83,02
3418,00;83,00
3416,00;82,98
3414,00;82,97
3412,00;82,96
3410,00;82,95
3408,00;82,94
3406,00;82,93
3404,00;82,93
3402,00;82,93
3400,00;82,92
3398,00;82,92
3396,00;82,92
3394,00;82,92
3392,00;82,92
3390,00;82,92
3388,00;82,92
3386,00;82,92
3384,00;82,92
3382,00;82,92
3380,00;82,92
3378,00;82,93
3376,00;82,93
3374,00;82,93
3372,00;82,93
3370,00;82,94
3368,00;82,94
3366,00;82,94
3364,00;82,94
3362,00;82,95
3360,00;82,95
3358,00;82,95
3356,00;82,96
3354,00;82,96
3352,00;82,96
3350,00;82,97
3348,00;82,97
3346,00;82,97
3344,00;82,98
3342,00;82,98
3340,00;82,99
3338,00;82,99
3336,00;82,99
3334,00;83,00
3332,00;83,00
3330,00;83,01
3328,00;83,01
3326,00;83,01
3324,00;83,02
3322,00;83,02
3320,00;83,03
3318,00;83,03
3316,00;83,04
3314,00;83,04
3312,00;83,05
3310,00;83,06
3308,00;83,06
3306,00;83,07
3304,00;83,07
3302,00;83,08
3300,00;83,08
3298,00;83,09
3296,00;83,09
3294,00;83,09
3292,00;83,10
3290,00;83,10
3288,00;83,10
3286,00;83,10
3284,00;83,11
3282,00;83,11
3280,00;83,11
3278,00;83,12
3276,00;83,12
3274,00;83,13
3272,00;83,13
3270,00;83,13
3268,00;83,14
3266,00;83,14
3264,00;83,14
3262,00;83,15
3260,00;83,15
3258,00;83,16
3256,00;83,16
3254,00;83,16
3252,00;83,17
3250,00;83,17
3248,00;83,18
3246,00;83,18
3244,00;83,19
3242,00;83,20
3240,00;83,20
3238,00;83,21
3236,00;83,21
3234,00;83,22
3232,00;83,22
3230,00;83,23
3228,00;83,23
3226,00;83,24
3224,00;83,24
3222,00;83,25
3220,00;83,26
3218,00;83,26
3216,00;83,27
3214,00;83,28
3212,00;83,28
3210,00;83,29
3208,00;83,30
3206,00;83,31
3204,00;83,32
3202,00;83,32
3200,00;83,33
3198,00;83,34
3196,00;83,35
3194,00;83,35
3192,00;83,36
3190,00;83,37
3188,00;83,38
3186,00;83,38
3184,00;83,39
3182,00;83,40
3180,00;83,41
3178,00;83,42
3176,00;83,43
3174,00;83,44
3172,00;83,45
3170,00;83,45
3168,00;83,46
3166,00;83,47
3164,00;83,47
3162,00;83,48
3160,00;83,49
3158,00;83,49
3156,00;83,50
3154,00;83,51
3152,00;83,52
3150,00;83,52
3148,00;83,53
3146,00;83,54
3144,00;83,55
3142,00;83,56
3140,00;83,58
3138,00;83,59
3136,00;83,60
3134,00;83,61
3132,00;83,63
3130,00;83,64
3128,00;83,65
3126,00;83,67
3124,00;83,69
3122,00;83,71
3120,00;83,73
3118,00;83,75
3116,00;83,77
3114,00;83,79
3112,00;83,82
3110,00;83,84
3108,00;83,87
3106,00;83,89
3104,00;83,91
3102,00;83,94
3100,00;83,96
3098,00;83,98
3096,00;84,01
3094,00;84,03
3092,00;84,05
3090,00;84,08
3088,00;84,10
3086,00;84,12
3084,00;84,14
3082,00;84,16
3080,00;84,18
3078,00;84,20
3076,00;84,22
3074,00;84,24
3072,00;84,26
3070,00;84,28
3068,00;84,29
3066,00;84,31
3064,00;84,33
3062,00;84,35
3060,00;84,38
3058,00;84,41
3056,00;84,44
3054,00;84,47
3052,00;84,51
3050,00;84,56
3048,00;84,61
3046,00;84,66
3044,00;84,71
3042,00;84,77
3040,00;84,83
3038,00;84,89
3036,00;84,95
3034,00;85,00
3032,00;85,06
3030,00;85,11
3028,00;85,17
3026,00;85,21
3024,00;85,25
3022,00;85,29
3020,00;85,32
3018,00;85,34
3016,00;85,36
3014,00;85,37
3012,00;85,38
3010,00;85,38
3008,00;85,37
3006,00;85,36
3004,00;85,35
3002,00;85,34
3000,00;85,33
2998,00;85,32
2996,00;85,31
2994,00;85,30
2992,00;85,30
2990,00;85,30
2988,00;85,30
2986,00;85,30
2984,00;85,31
2982,00;85,32
2980,00;85,33
2978,00;85,35
2976,00;85,36
2974,00;85,37
2972,00;85,38
2970,00;85,39
2968,00;85,39
2966,00;85,39
2964,00;85,39
2962,00;85,38
2960,00;85,38
2958,00;85,37
2956,00;85,36
2954,00;85,34
2952,00;85,33
2950,00;85,32
2948,00;85,30
2946,00;85,28
2944,00;85,26
2942,00;85,25
2940,00;85,22
2938,00;85,20
2936,00;85,18
2934,00;85,15
2932,00;85,12
2930,00;85,09
2928,00;85,05
2926,00;85,01
2924,00;84,97
2922,00;84,93
2920,00;84,89
2918,00;84,85
2916,00;84,81
2914,00;84,77
2912,00;84,73
2910,00;84,69
2908,00;84,65
2906,00;84,62
2904,00;84,59
2902,00;84,56
2900,00;84,54
2898,00;84,52
2896,00;84,50
2894,00;84,48
2892,00;84,47
2890,00;84,47
2888,00;84,46
2886,00;84,46
2884,00;84,46
2882,00;84,46
2880,00;84,47
2878,00;84,48
2876,00;84,48
2874,00;84,49
2872,00;84,50
2870,00;84,51
2868,00;84,52
2866,00;84,53
2864,00;84,54
2862,00;84,55
2860,00;84,56
2858,00;84,57
2856,00;84,58
2854,00;84,59
2852,00;84,59
2850,00;84,60
2848,00;84,61
2846,00;84,61
2844,00;84,62
2842,00;84,62
2840,00;84,63
2838,00;84,63
2836,00;84,63
2834,00;84,64
2832,00;84,64
2830,00;84,64
2828,00;84,65
2826,00;84,65
2824,00;84,66
2822,00;84,66
2820,00;84,66
2818,00;84,67
2816,00;84,67
2814,00;84,68
2812,00;84,69
2810,00;84,69
2808,00;84,70
2806,00;84,70
2804,00;84,71
2802,00;84,72
2800,00;84,72
2798,00;84,73
2796,00;84,73
2794,00;84,74
2792,00;84,75
2790,00;84,75
2788,00;84,76
2786,00;84,76
2784,00;84,77
2782,00;84,77
2780,00;84,78
2778,00;84,78
2776,00;84,78
2774,00;84,79
2772,00;84,79
2770,00;84,80
2768,00;84,80
2766,00;84,81
2764,00;84,81
2762,00;84,82
2760,00;84,83
2758,00;84,83
2756,00;84,84
2754,00;84,84
2752,00;84,85
2750,00;84,85
2748,00;84,86
2746,00;84,86
2744,00;84,87
2742,00;84,88
2740,00;84,88
2738,00;84,89
2736,00;84,89
2734,00;84,90
2732,00;84,90
2730,00;84,91
2728,00;84,91
2726,00;84,92
2724,00;84,93
2722,00;84,93
2720,00;84,94
2718,00;84,94
2716,00;84,95
2714,00;84,95
2712,00;84,96
2710,00;84,96
2708,00;84,96
2706,00;84,97
2704,00;84,97
2702,00;84,98
2700,00;84,98
2698,00;84,99
2696,00;84,99
2694,00;85,00
2692,00;85,00
2690,00;85,00
2688,00;85,01
2686,00;85,01
2684,00;85,02
2682,00;85,02
2680,00;85,02
2678,00;85,03
2676,00;85,03
2674,00;85,03
2672,00;85,03
2670,00;85,03
2668,00;85,03
2666,00;85,03
2664,00;85,03
2662,00;85,03
2660,00;85,03
2658,00;85,02
2656,00;85,02
2654,00;85,02
2652,00;85,01
2650,00;85,00
2648,00;85,00
2646,00;84,99
2644,00;84,98
2642,00;84,98
2640,00;84,97
2638,00;84,96
2636,00;84,96
2634,00;84,95
2632,00;84,95
2630,00;84,95
