Created as New Dataset;
cm-1;%T
4000,00;99,63
3998,00;99,63
3996,00;99,63
3994,00;99,63
3992,00;99,63
3990,00;99,63
3988,00;99,63
3986,00;99,63
3984,00;99,63
3982,00;99,62
3980,00;99,62
3978,00;99,62
3976,00;99,62
3974,00;99,62
3972,00;99,62
3970,00;99,62
3968,00;99,62
3966,00;99,62
3964,00;99,62
3962,00;99,62
3960,00;99,62
3958,00;99,62
3956,00;99,62
3954,00;99,62
3952,00;99,62
3950,00;99,62
3948,00;99,62
3946,00;99,62
3944,00;99,62
3942,00;99,62
3940,00;99,62
3938,00;99,62
3936,00;99,62
3934,00;99,62
3932,00;99,61
3930,00;99,61
3928,00;99,61
3926,00;99,61
3924,00;99,61
3922,00;99,61
3920,00;99,61
3918,00;99,61
3916,00;99,61
3914,00;99,61
3912,00;99,61
3910,00;99,61
3908,00;99,61
3906,00;99,61
3904,00;99,61
3902,00;99,61
3900,00;99,60
3898,00;99,60
3896,00;99,59
3894,00;99,59
3892,00;99,58
3890,00;99,58
3888,00;99,57
3886,00;99,56
3884,00;99,55
3882,00;99,54
3880,00;99,54
3878,00;99,53
3876,00;99,52
3874,00;99,52
3872,00;99,51
3870,00;99,51
3868,00;99,50
3866,00;99,50
3864,00;99,49
3862,00;99,49
3860,00;99,49
3858,00;99,49
3856,00;99,48
3854,00;99,48
3852,00;99,48
3850,00;99,48
3848,00;99,48
3846,00;99,47
3844,00;99,47
3842,00;99,47
3840,00;99,47
3838,00;99,47
3836,00;99,47
3834,00;99,47
3832,00;99,47
3830,00;99,47
3828,00;99,47
3826,00;99,47
3824,00;99,47
3822,00;99,47
3820,00;99,47
3818,00;99,47
3816,00;99,47
3814,00;99,47
3812,00;99,47
3810,00;99,48
3808,00;99,48
3806,00;99,48
3804,00;99,48
3802,00;99,48
3800,00;99,48
3798,00;99,48
3796,00;99,48
3794,00;99,49
3792,00;99,49
3790,00;99,49
3788,00;99,49
3786,00;99,49
3784,00;99,49
3782,00;99,49
3780,00;99,49
3778,00;99,49
3776,00;99,49
3774,00;99,49
3772,00;99,49
3770,00;99,49
3768,00;99,49
3766,00;99,49
3764,00;99,49
3762,00;99,49
3760,00;99,49
3758,00;99,49
3756,00;99,49
3754,00;99,49
3752,00;99,49
3750,00;99,50
3748,00;99,50
3746,00;99,49
3744,00;99,49
3742,00;99,49
