Created as New Dataset;
cm-1;%T
3294,00;95,82
3292,00;95,82
3290,00;95,82
3288,00;95,82
3286,00;95,82
3284,00;95,82
3282,00;95,81
3280,00;95,81
3278,00;95,81
3276,00;95,81
3274,00;95,81
3272,00;95,81
3270,00;95,80
3268,00;95,80
3266,00;95,80
3264,00;95,80
3262,00;95,80
3260,00;95,79
3258,00;95,79
3256,00;95,79
3254,00;95,79
3252,00;95,79
3250,00;95,80
3248,00;95,80
3246,00;95,80
3244,00;95,80
3242,00;95,80
3240,00;95,80
3238,00;95,80
3236,00;95,80
3234,00;95,80
3232,00;95,80
3230,00;95,80
3228,00;95,80
3226,00;95,80
3224,00;95,81
3222,00;95,81
3220,00;95,81
3218,00;95,81
3216,00;95,81
3214,00;95,81
3212,00;95,82
3210,00;95,82
3208,00;95,82
3206,00;95,82
3204,00;95,83
3202,00;95,83
3200,00;95,83
3198,00;95,84
3196,00;95,84
3194,00;95,85
3192,00;95,85
3190,00;95,85
3188,00;95,86
3186,00;95,86
3184,00;95,87
3182,00;95,87
3180,00;95,88
3178,00;95,88
3176,00;95,89
3174,00;95,89
3172,00;95,90
3170,00;95,90
3168,00;95,91
3166,00;95,91
3164,00;95,92
3162,00;95,92
3160,00;95,93
3158,00;95,93
3156,00;95,94
3154,00;95,95
3152,00;95,96
3150,00;95,97
3148,00;95,98
3146,00;95,99
3144,00;96,00
3142,00;96,01
3140,00;96,03
3138,00;96,04
3136,00;96,06
3134,00;96,07
3132,00;96,09
3130,00;96,11
3128,00;96,13
3126,00;96,15
3124,00;96,17
3122,00;96,19
3120,00;96,21
3118,00;96,24
3116,00;96,26
3114,00;96,29
3112,00;96,31
3110,00;96,34
3108,00;96,36
3106,00;96,39
3104,00;96,42
3102,00;96,44
3100,00;96,47
3098,00;96,50
3096,00;96,52
3094,00;96,55
3092,00;96,58
3090,00;96,60
3088,00;96,63
3086,00;96,65
3084,00;96,68
3082,00;96,70
3080,00;96,72
3078,00;96,75
3076,00;96,77
3074,00;96,79
3072,00;96,81
3070,00;96,83
3068,00;96,85
3066,00;96,87
3064,00;96,89
3062,00;96,92
3060,00;96,95
3058,00;96,98
3056,00;97,02
3054,00;97,06
3052,00;97,11
3050,00;97,16
3048,00;97,22
3046,00;97,28
3044,00;97,35
3042,00;97,42
3040,00;97,49
3038,00;97,56
3036,00;97,64
3034,00;97,71
3032,00;97,78
3030,00;97,85
3028,00;97,91
3026,00;97,97
3024,00;98,02
3022,00;98,06
3020,00;98,10
3018,00;98,13
3016,00;98,15
3014,00;98,16
3012,00;98,17
3010,00;98,17
3008,00;98,17
3006,00;98,16
3004,00;98,14
3002,00;98,13
3000,00;98,11
2998,00;98,10
2996,00;98,08
2994,00;98,07
2992,00;98,07
2990,00;98,07
2988,00;98,07
2986,00;98,08
2984,00;98,08
2982,00;98,09
2980,00;98,11
2978,00;98,12
2976,00;98,13
2974,00;98,14
