Created as New Dataset;
cm-1;%T
4000,00;98,61
3998,00;98,61
3996,00;98,61
3994,00;98,61
3992,00;98,61
3990,00;98,61
3988,00;98,61
3986,00;98,61
3984,00;98,61
3982,00;98,61
3980,00;98,60
3978,00;98,60
3976,00;98,60
3974,00;98,60
3972,00;98,60
3970,00;98,61
3968,00;98,61
3966,00;98,61
3964,00;98,61
3962,00;98,62
3960,00;98,62
3958,00;98,63
3956,00;98,63
3954,00;98,64
3952,00;98,64
3950,00;98,65
3948,00;98,66
3946,00;98,66
3944,00;98,67
3942,00;98,67
3940,00;98,68
3938,00;98,68
3936,00;98,69
3934,00;98,69
3932,00;98,69
3930,00;98,69
3928,00;98,70
3926,00;98,70
3924,00;98,70
3922,00;98,70
3920,00;98,70
3918,00;98,70
3916,00;98,70
3914,00;98,70
3912,00;98,70
3910,00;98,71
3908,00;98,71
3906,00;98,71
3904,00;98,71
3902,00;98,71
3900,00;98,71
3898,00;98,71
3896,00;98,71
3894,00;98,71
3892,00;98,70
3890,00;98,70
3888,00;98,70
3886,00;98,69
3884,00;98,69
3882,00;98,68
3880,00;98,68
3878,00;98,67
3876,00;98,67
3874,00;98,66
3872,00;98,66
3870,00;98,66
3868,00;98,65
3866,00;98,65
3864,00;98,64
3862,00;98,63
3860,00;98,63
3858,00;98,62
3856,00;98,61
3854,00;98,60
3852,00;98,60
3850,00;98,59
3848,00;98,58
3846,00;98,58
3844,00;98,57
3842,00;98,57
3840,00;98,56
3838,00;98,56
3836,00;98,56
3834,00;98,55
3832,00;98,55
3830,00;98,55
3828,00;98,55
3826,00;98,55
3824,00;98,55
3822,00;98,55
3820,00;98,55
3818,00;98,55
3816,00;98,56
3814,00;98,56
3812,00;98,56
3810,00;98,56
3808,00;98,56
3806,00;98,56
3804,00;98,56
3802,00;98,57
3800,00;98,57
3798,00;98,57
3796,00;98,57
3794,00;98,58
3792,00;98,58
3790,00;98,58
3788,00;98,59
3786,00;98,59
3784,00;98,60
3782,00;98,60
3780,00;98,61
3778,00;98,61
3776,00;98,61
3774,00;98,62
3772,00;98,62
3770,00;98,62
3768,00;98,62
3766,00;98,62
3764,00;98,63
3762,00;98,63
3760,00;98,63
3758,00;98,63
3756,00;98,63
3754,00;98,63
3752,00;98,63
3750,00;98,64
3748,00;98,64
3746,00;98,64
3744,00;98,64
3742,00;98,64
3740,00;98,64
3738,00;98,64
3736,00;98,63
3734,00;98,63
3732,00;98,63
3730,00;98,63
3728,00;98,62
3726,00;98,62
3724,00;98,62
3722,00;98,62
3720,00;98,62
3718,00;98,62
3716,00;98,62
3714,00;98,62
3712,00;98,61
3710,00;98,61
3708,00;98,60
3706,00;98,60
3704,00;98,59
3702,00;98,59
3700,00;98,59
3698,00;98,58
3696,00;98,58
3694,00;98,58
3692,00;98,58
3690,00;98,58
3688,00;98,58
3686,00;98,58
3684,00;98,58
3682,00;98,58
3680,00;98,58
3678,00;98,58
3676,00;98,57
3674,00;98,57
3672,00;98,57
3670,00;98,57
3668,00;98,56
3666,00;98,56
3664,00;98,56
3662,00;98,56
3660,00;98,57
3658,00;98,57
3656,00;98,57
3654,00;98,58
3652,00;98,58
3650,00;98,59
3648,00;98,59
3646,00;98,59
3644,00;98,60
3642,00;98,60
3640,00;98,60
3638,00;98,61
3636,00;98,61
3634,00;98,61
3632,00;98,62
3630,00;98,62
3628,00;98,62
3626,00;98,63
3624,00;98,63
3622,00;98,64
3620,00;98,65
3618,00;98,65
3616,00;98,66
3614,00;98,67
3612,00;98,67
3610,00;98,68
3608,00;98,68
3606,00;98,69
3604,00;98,69
3602,00;98,69
3600,00;98,70
3598,00;98,70
3596,00;98,71
3594,00;98,71
3592,00;98,72
3590,00;98,72
3588,00;98,72
3586,00;98,73
3584,00;98,73
3582,00;98,73
3580,00;98,74
3578,00;98,74
3576,00;98,74
3574,00;98,74
3572,00;98,74
3570,00;98,74
3568,00;98,74
3566,00;98,75
3564,00;98,75
3562,00;98,75
3560,00;98,75
3558,00;98,75
3556,00;98,75
3554,00;98,75
3552,00;98,75
3550,00;98,75
3548,00;98,74
3546,00;98,74
3544,00;98,74
3542,00;98,74
3540,00;98,74
3538,00;98,74
3536,00;98,74
3534,00;98,75
3532,00;98,75
3530,00;98,75
3528,00;98,75
3526,00;98,76
3524,00;98,76
3522,00;98,76
3520,00;98,76
3518,00;98,77
3516,00;98,77
3514,00;98,77
3512,00;98,78
3510,00;98,78
3508,00;98,79
3506,00;98,79
3504,00;98,80
3502,00;98,81
3500,00;98,82
3498,00;98,83
3496,00;98,84
3494,00;98,85
3492,00;98,87
3490,00;98,88
3488,00;98,89
3486,00;98,91
3484,00;98,93
3482,00;98,94
3480,00;98,96
3478,00;98,98
3476,00;98,99
3474,00;99,01
3472,00;99,03
3470,00;99,04
3468,00;99,05
3466,00;99,07
3464,00;99,08
3462,00;99,08
3460,00;99,09
