Created as New Dataset;
cm-1;%T
4000,00;98,42
3998,00;98,42
3996,00;98,42
3994,00;98,43
3992,00;98,43
3990,00;98,43
3988,00;98,43
3986,00;98,43
3984,00;98,42
3982,00;98,42
3980,00;98,42
3978,00;98,42
3976,00;98,42
3974,00;98,42
3972,00;98,42
3970,00;98,42
3968,00;98,42
3966,00;98,42
3964,00;98,42
3962,00;98,42
3960,00;98,43
3958,00;98,43
3956,00;98,43
3954,00;98,44
3952,00;98,44
3950,00;98,45
3948,00;98,45
3946,00;98,46
3944,00;98,46
3942,00;98,47
3940,00;98,47
3938,00;98,48
3936,00;98,48
3934,00;98,48
3932,00;98,49
3930,00;98,49
3928,00;98,49
3926,00;98,49
3924,00;98,49
3922,00;98,50
3920,00;98,50
3918,00;98,49
3916,00;98,49
3914,00;98,49
3912,00;98,49
3910,00;98,49
3908,00;98,49
3906,00;98,49
3904,00;98,49
3902,00;98,49
3900,00;98,49
3898,00;98,49
3896,00;98,49
3894,00;98,49
3892,00;98,49
3890,00;98,48
3888,00;98,48
3886,00;98,48
3884,00;98,48
3882,00;98,48
3880,00;98,48
3878,00;98,48
3876,00;98,47
3874,00;98,47
3872,00;98,47
3870,00;98,47
3868,00;98,47
3866,00;98,46
3864,00;98,46
3862,00;98,46
3860,00;98,46
3858,00;98,45
3856,00;98,45
3854,00;98,45
3852,00;98,45
3850,00;98,45
3848,00;98,44
3846,00;98,44
3844,00;98,44
3842,00;98,44
3840,00;98,45
3838,00;98,45
3836,00;98,45
3834,00;98,45
3832,00;98,45
3830,00;98,45
3828,00;98,45
3826,00;98,46
3824,00;98,46
3822,00;98,46
3820,00;98,46
3818,00;98,46
3816,00;98,46
3814,00;98,46
3812,00;98,46
3810,00;98,46
3808,00;98,46
3806,00;98,46
3804,00;98,46
3802,00;98,46
3800,00;98,46
3798,00;98,46
3796,00;98,47
3794,00;98,47
3792,00;98,47
3790,00;98,47
3788,00;98,47
3786,00;98,47
3784,00;98,48
3782,00;98,48
3780,00;98,48
3778,00;98,48
3776,00;98,48
3774,00;98,48
3772,00;98,48
3770,00;98,48
3768,00;98,48
3766,00;98,48
3764,00;98,48
3762,00;98,48
3760,00;98,48
3758,00;98,48
3756,00;98,48
3754,00;98,48
3752,00;98,48
3750,00;98,48
3748,00;98,48
3746,00;98,48
3744,00;98,49
3742,00;98,49
3740,00;98,49
3738,00;98,49
3736,00;98,49
3734,00;98,48
3732,00;98,48
3730,00;98,48
3728,00;98,48
3726,00;98,48
3724,00;98,48
3722,00;98,48
3720,00;98,48
3718,00;98,48
3716,00;98,48
3714,00;98,48
3712,00;98,48
3710,00;98,47
3708,00;98,47
3706,00;98,47
3704,00;98,46
3702,00;98,46
3700,00;98,46
3698,00;98,46
3696,00;98,45
3694,00;98,45
3692,00;98,45
3690,00;98,45
3688,00;98,45
3686,00;98,46
3684,00;98,46
3682,00;98,46
3680,00;98,46
3678,00;98,45
3676,00;98,45
3674,00;98,45
3672,00;98,44
3670,00;98,44
3668,00;98,44
3666,00;98,43
3664,00;98,43
3662,00;98,43
3660,00;98,43
3658,00;98,43
3656,00;98,43
3654,00;98,43
3652,00;98,43
3650,00;98,44
3648,00;98,44
3646,00;98,44
3644,00;98,44
3642,00;98,44
3640,00;98,45
3638,00;98,45
3636,00;98,45
3634,00;98,45
3632,00;98,45
3630,00;98,45
3628,00;98,45
3626,00;98,45
3624,00;98,45
3622,00;98,46
3620,00;98,46
3618,00;98,46
3616,00;98,47
3614,00;98,47
3612,00;98,47
3610,00;98,48
3608,00;98,48
3606,00;98,49
3604,00;98,49
3602,00;98,49
3600,00;98,50
3598,00;98,50
3596,00;98,50
3594,00;98,51
3592,00;98,51
3590,00;98,51
3588,00;98,52
3586,00;98,52
3584,00;98,52
3582,00;98,53
3580,00;98,53
3578,00;98,53
3576,00;98,54
3574,00;98,54
3572,00;98,54
3570,00;98,54
3568,00;98,55
3566,00;98,55
3564,00;98,55
3562,00;98,55
3560,00;98,56
3558,00;98,56
3556,00;98,56
3554,00;98,56
3552,00;98,56
3550,00;98,56
3548,00;98,56
3546,00;98,55
3544,00;98,55
3542,00;98,56
3540,00;98,56
3538,00;98,56
3536,00;98,56
3534,00;98,56
3532,00;98,57
3530,00;98,57
3528,00;98,58
3526,00;98,58
3524,00;98,59
3522,00;98,59
3520,00;98,60
3518,00;98,60
3516,00;98,61
3514,00;98,61
3512,00;98,62
3510,00;98,62
3508,00;98,63
3506,00;98,64
3504,00;98,65
3502,00;98,66
3500,00;98,67
3498,00;98,68
3496,00;98,69
3494,00;98,70
3492,00;98,72
3490,00;98,73
3488,00;98,75
3486,00;98,76
3484,00;98,78
3482,00;98,80
3480,00;98,81
3478,00;98,83
3476,00;98,85
3474,00;98,87
3472,00;98,88
3470,00;98,90
3468,00;98,91
3466,00;98,93
3464,00;98,94
3462,00;98,95
3460,00;98,95
3458,00;98,96
3456,00;98,96
3454,00;98,96
3452,00;98,95
3450,00;98,95
3448,00;98,94
3446,00;98,93
3444,00;98,91
3442,00;98,90
3440,00;98,88
3438,00;98,87
3436,00;98,85
3434,00;98,83
3432,00;98,81
3430,00;98,80
3428,00;98,78
3426,00;98,76
3424,00;98,75
3422,00;98,73
3420,00;98,72
3418,00;98,71
3416,00;98,70
3414,00;98,69
3412,00;98,68
3410,00;98,68
