Created as New Dataset;
cm-1;%T
4000,00;96,37
3998,00;96,37
3996,00;96,37
3994,00;96,36
3992,00;96,36
3990,00;96,35
3988,00;96,35
3986,00;96,34
3984,00;96,34
3982,00;96,33
3980,00;96,33
3978,00;96,32
3976,00;96,32
3974,00;96,32
3972,00;96,31
3970,00;96,31
3968,00;96,30
3966,00;96,30
3964,00;96,29
3962,00;96,29
3960,00;96,28
3958,00;96,28
3956,00;96,27
3954,00;96,27
3952,00;96,26
3950,00;96,26
3948,00;96,26
3946,00;96,25
3944,00;96,25
3942,00;96,24
3940,00;96,24
3938,00;96,24
3936,00;96,24
3934,00;96,24
3932,00;96,23
3930,00;96,23
3928,00;96,23
3926,00;96,22
3924,00;96,22
3922,00;96,22
3920,00;96,22
3918,00;96,22
3916,00;96,22
3914,00;96,21
3912,00;96,20
3910,00;96,18
3908,00;96,17
3906,00;96,16
3904,00;96,16
3902,00;96,17
3900,00;96,17
3898,00;96,16
3896,00;96,14
3894,00;96,10
3892,00;96,05
3890,00;96,01
3888,00;95,98
3886,00;95,97
3884,00;95,98
3882,00;96,01
3880,00;96,04
3878,00;96,06
3876,00;96,08
3874,00;96,08
3872,00;96,08
3870,00;96,08
3868,00;96,08
3866,00;96,09
3864,00;96,10
3862,00;96,11
3860,00;96,12
3858,00;96,12
3856,00;96,13
3854,00;96,14
3852,00;96,14
3850,00;96,15
3848,00;96,16
3846,00;96,17
3844,00;96,17
3842,00;96,18
3840,00;96,18
3838,00;96,19
3836,00;96,19
3834,00;96,20
3832,00;96,21
3830,00;96,23
3828,00;96,25
3826,00;96,27
3824,00;96,29
3822,00;96,31
3820,00;96,33
3818,00;96,35
3816,00;96,37
3814,00;96,38
3812,00;96,39
3810,00;96,40
3808,00;96,40
3806,00;96,40
3804,00;96,39
3802,00;96,39
3800,00;96,38
3798,00;96,38
3796,00;96,38
3794,00;96,37
3792,00;96,37
3790,00;96,37
3788,00;96,37
3786,00;96,36
3784,00;96,36
3782,00;96,36
3780,00;96,35
3778,00;96,35
3776,00;96,35
3774,00;96,34
3772,00;96,33
3770,00;96,33
3768,00;96,32
3766,00;96,30
3764,00;96,29
3762,00;96,27
3760,00;96,25
3758,00;96,22
3756,00;96,19
3754,00;96,16
3752,00;96,13
3750,00;96,10
3748,00;96,07
3746,00;96,05
3744,00;96,03
3742,00;96,02
3740,00;96,01
3738,00;96,01
3736,00;96,00
3734,00;96,00
3732,00;95,99
3730,00;95,98
3728,00;95,96
3726,00;95,94
3724,00;95,91
3722,00;95,87
3720,00;95,83
3718,00;95,79
3716,00;95,75
3714,00;95,71
3712,00;95,68
3710,00;95,66
3708,00;95,65
3706,00;95,65
3704,00;95,65
3702,00;95,65
3700,00;95,65
3698,00;95,65
3696,00;95,64
3694,00;95,62
3692,00;95,60
3690,00;95,57
3688,00;95,54
3686,00;95,51
3684,00;95,48
3682,00;95,46
3680,00;95,45
3678,00;95,44
3676,00;95,43
3674,00;95,43
3672,00;95,43
3670,00;95,43
3668,00;95,43
3666,00;95,42
3664,00;95,42
3662,00;95,41
3660,00;95,40
3658,00;95,38
3656,00;95,36
3654,00;95,34
3652,00;95,32
3650,00;95,31
3648,00;95,30
3646,00;95,30
3644,00;95,30
3642,00;95,31
3640,00;95,32
3638,00;95,33
3636,00;95,34
3634,00;95,35
3632,00;95,34
3630,00;95,33
3628,00;95,32
3626,00;95,30
3624,00;95,28
