Created as New Dataset;
cm-1;%T
3294,00;67,74
3292,00;67,72
3290,00;67,70
3288,00;67,68
3286,00;67,66
3284,00;67,64
3282,00;67,62
3280,00;67,60
3278,00;67,58
3276,00;67,56
3274,00;67,54
3272,00;67,52
3270,00;67,50
3268,00;67,49
3266,00;67,47
3264,00;67,45
3262,00;67,43
3260,00;67,41
3258,00;67,39
3256,00;67,37
3254,00;67,35
3252,00;67,33
3250,00;67,31
3248,00;67,29
3246,00;67,27
3244,00;67,25
3242,00;67,24
3240,00;67,22
3238,00;67,20
3236,00;67,18
3234,00;67,16
3232,00;67,14
3230,00;67,13
3228,00;67,11
3226,00;67,09
3224,00;67,07
3222,00;67,05
3220,00;67,03
3218,00;67,01
3216,00;66,99
3214,00;66,97
3212,00;66,95
3210,00;66,94
3208,00;66,92
3206,00;66,90
3204,00;66,88
3202,00;66,86
3200,00;66,84
3198,00;66,82
3196,00;66,80
3194,00;66,78
3192,00;66,76
3190,00;66,74
3188,00;66,72
3186,00;66,70
3184,00;66,68
3182,00;66,66
3180,00;66,65
3178,00;66,63
3176,00;66,61
3174,00;66,59
3172,00;66,57
3170,00;66,55
3168,00;66,53
3166,00;66,51
3164,00;66,48
3162,00;66,46
3160,00;66,44
3158,00;66,42
3156,00;66,40
3154,00;66,38
3152,00;66,36
3150,00;66,35
3148,00;66,33
3146,00;66,31
3144,00;66,29
3142,00;66,27
3140,00;66,26
3138,00;66,24
3136,00;66,22
3134,00;66,21
3132,00;66,19
3130,00;66,17
3128,00;66,16
3126,00;66,14
3124,00;66,13
3122,00;66,11
3120,00;66,10
3118,00;66,09
3116,00;66,08
3114,00;66,06
3112,00;66,05
3110,00;66,04
3108,00;66,03
3106,00;66,02
3104,00;66,01
3102,00;66,00
3100,00;65,99
3098,00;65,98
3096,00;65,96
3094,00;65,95
3092,00;65,94
3090,00;65,93
3088,00;65,92
3086,00;65,91
3084,00;65,89
3082,00;65,88
3080,00;65,87
3078,00;65,85
3076,00;65,84
3074,00;65,83
3072,00;65,81
3070,00;65,80
3068,00;65,78
3066,00;65,77
3064,00;65,75
3062,00;65,74
3060,00;65,73
3058,00;65,72
3056,00;65,72
3054,00;65,72
3052,00;65,72
3050,00;65,72
3048,00;65,72
3046,00;65,73
3044,00;65,74
3042,00;65,75
3040,00;65,76
3038,00;65,77
3036,00;65,78
3034,00;65,79
3032,00;65,80
3030,00;65,81
3028,00;65,82
3026,00;65,82
3024,00;65,82
3022,00;65,81
3020,00;65,80
3018,00;65,79
3016,00;65,78
3014,00;65,76
3012,00;65,74
3010,00;65,71
3008,00;65,69
3006,00;65,66
3004,00;65,63
3002,00;65,60
3000,00;65,57
2998,00;65,53
2996,00;65,51
2994,00;65,48
2992,00;65,45
2990,00;65,43
2988,00;65,41
2986,00;65,38
2984,00;65,37
2982,00;65,35
2980,00;65,33
2978,00;65,31
2976,00;65,29
2974,00;65,28
2972,00;65,25
2970,00;65,23
2968,00;65,21
2966,00;65,18
2964,00;65,16
2962,00;65,13
2960,00;65,10
2958,00;65,07
2956,00;65,04
2954,00;65,00
2952,00;64,97
2950,00;64,94
2948,00;64,90
2946,00;64,87
2944,00;64,83
2942,00;64,80
2940,00;64,76
2938,00;64,72
2936,00;64,68
2934,00;64,64
2932,00;64,59
2930,00;64,55
2928,00;64,50
2926,00;64,45
2924,00;64,40
2922,00;64,35
2920,00;64,30
2918,00;64,26
2916,00;64,21
2914,00;64,16
2912,00;64,11
2910,00;64,07
2908,00;64,02
2906,00;63,98
2904,00;63,94
2902,00;63,90
2900,00;63,86
2898,00;63,82
2896,00;63,79
2894,00;63,76
2892,00;63,73
2890,00;63,70
2888,00;63,67
2886,00;63,65
2884,00;63,62
2882,00;63,60
2880,00;63,57
2878,00;63,55
2876,00;63,53
2874,00;63,51
2872,00;63,48
2870,00;63,46
2868,00;63,44
2866,00;63,41
2864,00;63,39
2862,00;63,36
2860,00;63,34
2858,00;63,31
2856,00;63,29
2854,00;63,26
2852,00;63,24
2850,00;63,21
2848,00;63,18
2846,00;63,16
2844,00;63,13
2842,00;63,11
2840,00;63,08
2838,00;63,06
2836,00;63,03
2834,00;63,01
2832,00;62,98
2830,00;62,96
2828,00;62,93
2826,00;62,91
2824,00;62,88
2822,00;62,86
2820,00;62,84
2818,00;62,82
2816,00;62,79
2814,00;62,77
2812,00;62,75
2810,00;62,73
2808,00;62,70
2806,00;62,68
2804,00;62,66
2802,00;62,64
2800,00;62,62
2798,00;62,60
2796,00;62,57
2794,00;62,55
2792,00;62,53
2790,00;62,50
2788,00;62,48
2786,00;62,46
2784,00;62,43
2782,00;62,41
2780,00;62,39
2778,00;62,36
2776,00;62,34
2774,00;62,32
2772,00;62,29
2770,00;62,27
2768,00;62,25
2766,00;62,22
2764,00;62,20
2762,00;62,18
2760,00;62,15
2758,00;62,13
2756,00;62,11
2754,00;62,09
2752,00;62,07
2750,00;62,04
2748,00;62,02
2746,00;62,00
2744,00;61,97
2742,00;61,95
2740,00;61,93
2738,00;61,91
2736,00;61,88
2734,00;61,86
2732,00;61,84
2730,00;61,82
2728,00;61,79
2726,00;61,77
2724,00;61,75
2722,00;61,72
2720,00;61,70
2718,00;61,67
2716,00;61,65
2714,00;61,63
2712,00;61,60
2710,00;61,58
2708,00;61,55
2706,00;61,53
2704,00;61,50
2702,00;61,48
2700,00;61,45
2698,00;61,43
2696,00;61,40
2694,00;61,38
2692,00;61,35
2690,00;61,33
2688,00;61,31
2686,00;61,28
2684,00;61,26
2682,00;61,24
2680,00;61,21
2678,00;61,19
2676,00;61,16
2674,00;61,14
2672,00;61,12
2670,00;61,10
2668,00;61,07
2666,00;61,05
2664,00;61,03
2662,00;61,00
2660,00;60,98
2658,00;60,96
2656,00;60,94
2654,00;60,91
2652,00;60,89
2650,00;60,87
2648,00;60,84
2646,00;60,82
2644,00;60,80
2642,00;60,77
2640,00;60,75
2638,00;60,73
2636,00;60,70
2634,00;60,68
2632,00;60,66
2630,00;60,63
2628,00;60,61
2626,00;60,59
2624,00;60,56
2622,00;60,54
2620,00;60,51
2618,00;60,49
2616,00;60,47
2614,00;60,44
2612,00;60,42
2610,00;60,40
2608,00;60,38
2606,00;60,35
2604,00;60,33
2602,00;60,31
2600,00;60,29
2598,00;60,27
2596,00;60,25
2594,00;60,22
2592,00;60,20
2590,00;60,18
2588,00;60,16
2586,00;60,13
2584,00;60,11
2582,00;60,09
2580,00;60,06
2578,00;60,04
2576,00;60,02
2574,00;59,99
2572,00;59,97
2570,00;59,94
2568,00;59,92
2566,00;59,89
2564,00;59,87
2562,00;59,84
2560,00;59,82
2558,00;59,79
2556,00;59,76
2554,00;59,74
2552,00;59,71
2550,00;59,68
2548,00;59,65
2546,00;59,62
2544,00;59,60
2542,00;59,57
2540,00;59,54
2538,00;59,51
2536,00;59,49
2534,00;59,46
2532,00;59,43
2530,00;59,41
2528,00;59,38
2526,00;59,35
2524,00;59,32
2522,00;59,30
2520,00;59,27
2518,00;59,24
2516,00;59,22
2514,00;59,19
2512,00;59,16
2510,00;59,14
2508,00;59,11
2506,00;59,08
2504,00;59,05
2502,00;59,03
2500,00;59,00
2498,00;58,97
2496,00;58,95
2494,00;58,92
2492,00;58,89
2490,00;58,86
2488,00;58,84
2486,00;58,81
2484,00;58,78
2482,00;58,75
2480,00;58,73
2478,00;58,70
2476,00;58,68
2474,00;58,65
2472,00;58,62
2470,00;58,60
2468,00;58,57
2466,00;58,54
2464,00;58,52
2462,00;58,49
2460,00;58,46
2458,00;58,44
2456,00;58,41
2454,00;58,38
2452,00;58,35
2450,00;58,32
2448,00;58,30
2446,00;58,27
2444,00;58,24
2442,00;58,21
2440,00;58,18
2438,00;58,16
2436,00;58,13
2434,00;58,10
2432,00;58,07
2430,00;58,04
2428,00;58,01
2426,00;57,98
2424,00;57,95
2422,00;57,92
2420,00;57,89
2418,00;57,87
2416,00;57,84
2414,00;57,82
2412,00;57,80
2410,00;57,78
2408,00;57,77
2406,00;57,75
2404,00;57,73
2402,00;57,71
2400,00;57,69
2398,00;57,67
2396,00;57,64
2394,00;57,62
2392,00;57,59
2390,00;57,56
2388,00;57,54
2386,00;57,51
2384,00;57,49
2382,00;57,46
2380,00;57,44
2378,00;57,42
2376,00;57,41
2374,00;57,39
2372,00;57,38
2370,00;57,36
2368,00;57,35
2366,00;57,33
2364,00;57,31
2362,00;57,28
2360,00;57,26
2358,00;57,23
2356,00;57,20
2354,00;57,17
2352,00;57,14
2350,00;57,12
2348,00;57,10
2346,00;57,08
2344,00;57,07
2342,00;57,06
2340,00;57,05
2338,00;57,04
2336,00;57,02
2334,00;57,00
2332,00;56,98
2330,00;56,95
2328,00;56,92
2326,00;56,89
2324,00;56,85
2322,00;56,81
2320,00;56,76
2318,00;56,72
2316,00;56,67
2314,00;56,63
2312,00;56,58
2310,00;56,54
2308,00;56,50
2306,00;56,46
2304,00;56,42
2302,00;56,38
2300,00;56,35
2298,00;56,32
2296,00;56,30
2294,00;56,28
2292,00;56,26
2290,00;56,24
2288,00;56,22
2286,00;56,21
2284,00;56,19
2282,00;56,18
2280,00;56,17
2278,00;56,16
2276,00;56,15
2274,00;56,15
2272,00;56,14
2270,00;56,13
2268,00;56,12
2266,00;56,11
2264,00;56,10
2262,00;56,09
2260,00;56,08
2258,00;56,07
2256,00;56,06
2254,00;56,05
2252,00;56,04
2250,00;56,03
2248,00;56,02
2246,00;56,01
2244,00;56,01
2242,00;56,00
2240,00;55,99
2238,00;55,98
2236,00;55,97
2234,00;55,96
2232,00;55,95
2230,00;55,94
2228,00;55,93
2226,00;55,92
2224,00;55,91
2222,00;55,90
2220,00;55,89
2218,00;55,88
2216,00;55,87
2214,00;55,87
2212,00;55,86
2210,00;55,86
2208,00;55,85
2206,00;55,85
2204,00;55,85
2202,00;55,84
2200,00;55,84
2198,00;55,84
2196,00;55,84
2194,00;55,85
2192,00;55,85
2190,00;55,85
2188,00;55,86
2186,00;55,87
2184,00;55,88
2182,00;55,89
2180,00;55,90
2178,00;55,90
2176,00;55,91
2174,00;55,91
2172,00;55,90
2170,00;55,89
2168,00;55,87
2166,00;55,84
2164,00;55,80
2162,00;55,75
2160,00;55,69
2158,00;55,63
2156,00;55,55
2154,00;55,46
2152,00;55,37
2150,00;55,28
2148,00;55,17
2146,00;55,07
2144,00;54,97
2142,00;54,87
2140,00;54,77
2138,00;54,67
2136,00;54,57
2134,00;54,49
2132,00;54,40
2130,00;54,33
2128,00;54,26
