Created as New Dataset;
cm-1;%T
4000,00;83,59
3998,00;83,58
3996,00;83,58
3994,00;83,58
3992,00;83,58
3990,00;83,57
3988,00;83,57
3986,00;83,57
3984,00;83,57
3982,00;83,56
3980,00;83,56
3978,00;83,55
3976,00;83,55
3974,00;83,55
3972,00;83,54
3970,00;83,54
3968,00;83,53
3966,00;83,52
3964,00;83,52
3962,00;83,51
3960,00;83,50
3958,00;83,50
3956,00;83,49
3954,00;83,48
3952,00;83,48
3950,00;83,47
3948,00;83,46
3946,00;83,46
3944,00;83,45
3942,00;83,45
3940,00;83,44
3938,00;83,44
3936,00;83,44
3934,00;83,43
3932,00;83,43
3930,00;83,42
3928,00;83,42
3926,00;83,42
3924,00;83,41
3922,00;83,41
3920,00;83,41
3918,00;83,40
3916,00;83,40
3914,00;83,39
3912,00;83,38
3910,00;83,37
3908,00;83,36
3906,00;83,35
3904,00;83,35
3902,00;83,35
3900,00;83,35
3898,00;83,34
3896,00;83,32
3894,00;83,30
3892,00;83,29
3890,00;83,29
3888,00;83,30
3886,00;83,32
3884,00;83,33
3882,00;83,32
3880,00;83,29
3878,00;83,23
3876,00;83,19
3874,00;83,20
3872,00;83,26
3870,00;83,39
3868,00;83,55
3866,00;83,71
3864,00;83,83
3862,00;83,88
3860,00;83,87
3858,00;83,81
3856,00;83,72
3854,00;83,66
3852,00;83,61
3850,00;83,58
3848,00;83,56
3846,00;83,52
3844,00;83,48
3842,00;83,43
3840,00;83,37
3838,00;83,32
3836,00;83,27
3834,00;83,24
3832,00;83,22
3830,00;83,20
3828,00;83,19
3826,00;83,17
3824,00;83,16
3822,00;83,15
3820,00;83,14
3818,00;83,14
3816,00;83,13
3814,00;83,13
3812,00;83,13
3810,00;83,13
3808,00;83,13
3806,00;83,13
3804,00;83,13
3802,00;83,13
3800,00;83,13
3798,00;83,13
3796,00;83,14
3794,00;83,14
3792,00;83,15
3790,00;83,16
3788,00;83,18
3786,00;83,20
3784,00;83,22
3782,00;83,25
3780,00;83,27
3778,00;83,30
3776,00;83,33
3774,00;83,36
3772,00;83,39
3770,00;83,41
3768,00;83,44
3766,00;83,45
3764,00;83,47
3762,00;83,48
3760,00;83,49
3758,00;83,51
3756,00;83,52
3754,00;83,53
3752,00;83,55
3750,00;83,56
3748,00;83,58
3746,00;83,60
3744,00;83,63
3742,00;83,65
3740,00;83,67
3738,00;83,70
3736,00;83,71
3734,00;83,72
3732,00;83,72
3730,00;83,72
3728,00;83,71
3726,00;83,69
3724,00;83,68
3722,00;83,67
3720,00;83,67
3718,00;83,67
3716,00;83,67
3714,00;83,68
3712,00;83,68
3710,00;83,68
3708,00;83,68
3706,00;83,67
3704,00;83,66
3702,00;83,64
3700,00;83,62
3698,00;83,59
3696,00;83,56
3694,00;83,53
3692,00;83,50
3690,00;83,47
3688,00;83,44
3686,00;83,41
3684,00;83,39
3682,00;83,38
3680,00;83,36
3678,00;83,35
3676,00;83,33
3674,00;83,32
3672,00;83,30
3670,00;83,27
3668,00;83,24
3666,00;83,21
3664,00;83,17
3662,00;83,13
