Created as New Dataset;
cm-1;%T
4000,00;72,17
3998,00;72,15
3996,00;72,13
3994,00;72,12
3992,00;72,10
3990,00;72,09
3988,00;72,07
3986,00;72,05
3984,00;72,04
3982,00;72,02
3980,00;72,00
3978,00;71,98
3976,00;71,97
3974,00;71,95
3972,00;71,93
3970,00;71,92
3968,00;71,91
3966,00;71,89
3964,00;71,87
3962,00;71,85
3960,00;71,83
3958,00;71,81
3956,00;71,79
3954,00;71,78
3952,00;71,78
3950,00;71,78
3948,00;71,76
3946,00;71,73
3944,00;71,67
3942,00;71,59
3940,00;71,51
3938,00;71,43
3936,00;71,37
3934,00;71,33
3932,00;71,32
3930,00;71,32
3928,00;71,32
3926,00;71,31
3924,00;71,29
3922,00;71,26
3920,00;71,23
3918,00;71,20
3916,00;71,18
3914,00;71,16
3912,00;71,14
3910,00;71,12
3908,00;71,10
3906,00;71,08
3904,00;71,05
3902,00;71,02
3900,00;71,00
3898,00;70,98
3896,00;70,97
3894,00;70,95
3892,00;70,93
3890,00;70,92
3888,00;70,90
3886,00;70,89
3884,00;70,87
3882,00;70,86
3880,00;70,85
3878,00;70,84
3876,00;70,83
3874,00;70,82
3872,00;70,81
3870,00;70,80
3868,00;70,79
3866,00;70,78
3864,00;70,77
3862,00;70,76
3860,00;70,75
3858,00;70,74
3856,00;70,74
3854,00;70,73
3852,00;70,72
3850,00;70,71
3848,00;70,70
3846,00;70,69
3844,00;70,68
3842,00;70,67
3840,00;70,66
3838,00;70,65
3836,00;70,64
3834,00;70,63
3832,00;70,62
3830,00;70,60
3828,00;70,59
3826,00;70,58
3824,00;70,56
3822,00;70,55
3820,00;70,53
3818,00;70,52
3816,00;70,50
3814,00;70,48
3812,00;70,47
3810,00;70,45
3808,00;70,43
3806,00;70,41
3804,00;70,39
3802,00;70,37
3800,00;70,34
3798,00;70,32
3796,00;70,30
3794,00;70,27
3792,00;70,25
3790,00;70,22
3788,00;70,19
3786,00;70,17
3784,00;70,14
3782,00;70,11
3780,00;70,08
3778,00;70,06
3776,00;70,03
3774,00;70,01
3772,00;69,99
3770,00;69,97
3768,00;69,95
3766,00;69,93
3764,00;69,91
3762,00;69,89
3760,00;69,87
3758,00;69,85
3756,00;69,83
3754,00;69,81
3752,00;69,79
3750,00;69,77
3748,00;69,76
3746,00;69,74
3744,00;69,72
3742,00;69,71
3740,00;69,70
3738,00;69,69
3736,00;69,68
3734,00;69,67
3732,00;69,66
3730,00;69,66
3728,00;69,65
3726,00;69,65
3724,00;69,64
3722,00;69,64
3720,00;69,63
3718,00;69,63
3716,00;69,62
3714,00;69,62
3712,00;69,62
3710,00;69,62
3708,00;69,61
3706,00;69,61
3704,00;69,61
3702,00;69,60
3700,00;69,59
3698,00;69,58
3696,00;69,57
3694,00;69,55
3692,00;69,54
3690,00;69,51
3688,00;69,49
3686,00;69,46
3684,00;69,44
3682,00;69,41
3680,00;69,38
3678,00;69,35
3676,00;69,32
3674,00;69,29
3672,00;69,26
3670,00;69,23
3668,00;69,20
3666,00;69,18
3664,00;69,15
3662,00;69,13
3660,00;69,10
3658,00;69,08
3656,00;69,05
3654,00;69,03
3652,00;69,00
3650,00;68,97
3648,00;68,94
3646,00;68,91
3644,00;68,89
3642,00;68,86
3640,00;68,83
3638,00;68,81
3636,00;68,78
3634,00;68,76
3632,00;68,74
3630,00;68,72
3628,00;68,70
3626,00;68,68
3624,00;68,67
3622,00;68,65
3620,00;68,63
3618,00;68,62
3616,00;68,60
3614,00;68,58
3612,00;68,57
3610,00;68,55
3608,00;68,53
3606,00;68,52
3604,00;68,50
3602,00;68,49
3600,00;68,47
3598,00;68,46
3596,00;68,45
3594,00;68,43
3592,00;68,42
3590,00;68,41
3588,00;68,40
3586,00;68,40
3584,00;68,39
3582,00;68,38
3580,00;68,37
3578,00;68,36
3576,00;68,35
3574,00;68,34
3572,00;68,33
3570,00;68,31
3568,00;68,30
3566,00;68,29
3564,00;68,28
3562,00;68,27
3560,00;68,26
3558,00;68,25
3556,00;68,24
3554,00;68,23
3552,00;68,23
3550,00;68,22
3548,00;68,21
3546,00;68,20
3544,00;68,19
3542,00;68,18
3540,00;68,17
3538,00;68,16
3536,00;68,15
3534,00;68,14
3532,00;68,13
3530,00;68,13
3528,00;68,12
3526,00;68,11
3524,00;68,10
3522,00;68,09
3520,00;68,08
3518,00;68,08
3516,00;68,07
3514,00;68,06
3512,00;68,05
3510,00;68,04
3508,00;68,03
3506,00;68,02
3504,00;68,01
3502,00;68,00
3500,00;67,99
3498,00;67,98
3496,00;67,97
3494,00;67,96
3492,00;67,95
3490,00;67,94
3488,00;67,93
3486,00;67,92
3484,00;67,91
3482,00;67,90
3480,00;67,89
3478,00;67,88
3476,00;67,88
3474,00;67,87
3472,00;67,86
3470,00;67,85
3468,00;67,83
3466,00;67,82
3464,00;67,81
3462,00;67,80
3460,00;67,78
3458,00;67,76
3456,00;67,74
3454,00;67,72
3452,00;67,70
3450,00;67,68
3448,00;67,65
3446,00;67,63
3444,00;67,60
3442,00;67,57
3440,00;67,55
3438,00;67,52
3436,00;67,49
3434,00;67,46
3432,00;67,44
3430,00;67,41
3428,00;67,38
3426,00;67,36
3424,00;67,33
3422,00;67,31
3420,00;67,28
3418,00;67,26
3416,00;67,23
3414,00;67,21
3412,00;67,19
3410,00;67,17
3408,00;67,14
3406,00;67,12
3404,00;67,10
3402,00;67,08
3400,00;67,06
3398,00;67,04
3396,00;67,02
3394,00;67,00
3392,00;66,98
3390,00;66,96
3388,00;66,94
3386,00;66,92
3384,00;66,90
3382,00;66,88
3380,00;66,86
3378,00;66,84
3376,00;66,82
3374,00;66,80
3372,00;66,78
3370,00;66,76
3368,00;66,74
3366,00;66,73
3364,00;66,71
3362,00;66,69
3360,00;66,67
3358,00;66,65
3356,00;66,63
3354,00;66,61
3352,00;66,59
3350,00;66,57
3348,00;66,55
3346,00;66,53
3344,00;66,51
3342,00;66,49
3340,00;66,47
3338,00;66,45
3336,00;66,43
3334,00;66,41
3332,00;66,39
3330,00;66,37
3328,00;66,36
3326,00;66,34
3324,00;66,32
3322,00;66,30
3320,00;66,28
3318,00;66,26
3316,00;66,24
3314,00;66,22
3312,00;66,20
3310,00;66,18
3308,00;66,16
3306,00;66,14
3304,00;66,13
3302,00;66,11
3300,00;66,09
3298,00;66,07
3296,00;66,05
3294,00;66,02
3292,00;66,00
3290,00;65,98
3288,00;65,96
3286,00;65,94
3284,00;65,92
3282,00;65,89
3280,00;65,87
3278,00;65,85
3276,00;65,83
3274,00;65,81
3272,00;65,79
3270,00;65,77
3268,00;65,75
3266,00;65,73
3264,00;65,71
3262,00;65,69
3260,00;65,66
3258,00;65,64
3256,00;65,62
3254,00;65,60
3252,00;65,58
3250,00;65,56
3248,00;65,54
3246,00;65,52
3244,00;65,50
3242,00;65,48
3240,00;65,46
3238,00;65,44
3236,00;65,42
3234,00;65,40
3232,00;65,38
3230,00;65,36
3228,00;65,34
3226,00;65,32
3224,00;65,30
3222,00;65,27
3220,00;65,25
3218,00;65,23
3216,00;65,21
3214,00;65,19
3212,00;65,17
3210,00;65,15
3208,00;65,13
3206,00;65,11
3204,00;65,09
3202,00;65,07
3200,00;65,05
3198,00;65,03
3196,00;65,01
3194,00;64,99
3192,00;64,97
3190,00;64,95
3188,00;64,93
3186,00;64,91
3184,00;64,89
3182,00;64,87
3180,00;64,85
